City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
City of Granite Falls,City of Granite Falls,http://ci.granite-falls.wa.us/,Matt Hartman,4775,PO Box 1440,Granite Falls,WA,98252,Snohomish,"PO Box 1440,Granite Falls,WA 98252",48.083437,-121.967388,"48.083437,-121.967388"
City of La Center,City of La Center,http://ci.lacenter.wa.us/,Tom Strobehn,3890,210 E 4th St,La Center,WA,98629-5430,Clark,"210 E 4th St,La Center,WA 98629-5430",45.861905,-122.669485,"45.861905,-122.669485"
City of Stevenson,City of Stevenson,http://ci.stevenson.wa.us/,Scott Anderson,1565,PO Box 371,Stevenson,WA,98648,Skamania,"PO Box 371,Stevenson,WA 98648",45.695417,-121.884725,"45.695417,-121.884725"
City of Montesano,City of Montesano,http://cityofmontesano.com/,Vini Samuel,4090,112 N Main St,Montesano,WA,98563-3707,Grays Harbor,"112 N Main St,Montesano,WA 98563-3707",46.98238,-123.60066,"46.98238,-123.60066"
City of Raymond,City of Raymond,http://cityofraymond.com/,Dee Roberts,3110,230 2nd St,Raymond,WA,98577-2406,Pacific,"230 2nd St,Raymond,WA 98577-2406",46.685325,-123.73487,"46.685325,-123.73487"
City of Tieton,City of Tieton,http://cityoftieton.com/departments/,Dewane Ashbrooks,1545,PO Box 357,Tieton,WA,98947,Yakima,"PO Box 357,Tieton,WA 98947",46.702069,-120.75535,"46.702069,-120.75535"
City of Toppenish,City of Toppenish,http://cityoftoppenish.us/,Elpidia Saavedra,8900,21 W 1st Ave,Toppenish,WA,98948-1524,Yakima,"21 W 1st Ave,Toppenish,WA 98948-1524",46.375288,-120.310875,"46.375288,-120.310875"
Town of Fairfield,Town of Fairfield,http://fairfieldwa.com/,Jamie Paden,600,PO Box 334,Fairfield,WA,99012,Spokane,"PO Box 334,Fairfield,WA 99012",47.385175,-117.171579,"47.385175,-117.171579"
City of Kenmore,City of Kenmore,http://kenmorewa.gov/,Nigel Herbig,24230,18120 68th Ave NE,Kenmore,WA,98028-2701,King,"18120 68th Ave NE,Kenmore,WA 98028-2701",47.76051,-122.24938,"47.76051,-122.24938"
City of Mesa,City of Mesa,http://localtown.us/mesa-wa/,Jim Cronenwett,390,PO Box 146,Mesa,WA,99343,Franklin,"PO Box 146,Mesa,WA 99343",46.57625,-119.006673,"46.57625,-119.006673"
City of Oroville,City of Oroville,http://oroville-wa.com/index.php/officials-staff/,Jon Neal,1810,PO Box 2200,Oroville,WA,98844,Okanogan,"PO Box 2200,Oroville,WA 98844",48.937615,-119.436169,"48.937615,-119.436169"
Town of Hamilton,Town of Hamilton,http://townofhamiltonwa.com/,Mandy Bates,295,PO Box 528,Hamilton,WA,98255,Skagit,"PO Box 528,Hamilton,WA 98255",48.526005,-121.988963,"48.526005,-121.988963"
Town of Lamont,Town of Lamont,http://townoflamont.weebly.com/,Phyllis Bogner,85,302 8th St,Lamont,WA,99017-8771,Whitman,"302 8th St,Lamont,WA 99017-8771",47.20018,-117.90879,"47.20018,-117.90879"
Town of Almira,Town of Almira,http://www.almirawashington.com/,Jason Evers,320,PO Box 215,Almira,WA,99103,Lincoln,"PO Box 215,Almira,WA 99103",47.710982,-118.940846,"47.710982,-118.940846"
City of Black Diamond,City of Black Diamond,http://www.blackdiamondwa.gov/,Carol Benson,6880,PO Box 599,Black Diamond,WA,98010,King,"PO Box 599,Black Diamond,WA 98010",47.308308,-122.003758,"47.308308,-122.003758"
City of Airway Heights,City of Airway Heights,http://www.cawh.org/,Larry Bowman,11280,1208 S Lundstrom St,Airway Heights,WA,99001-9000,Spokane,"1208 S Lundstrom St,Airway Heights,WA 99001-9000",47.644395,-117.593525,"47.644395,-117.593525"
City of Bonney Lake,City of Bonney Lake,http://www.ci.bonney-lake.wa.us/,Michael McCullough,23250,PO Box 7380,Bonney Lake,WA,98391,Pierce,"PO Box 7380,Bonney Lake,WA 98391",47.187019,-122.170229,"47.187019,-122.170229"
City of Bremerton,City of Bremerton,http://www.ci.bremerton.wa.us/,Greg Wheeler,44640,345 6th St Ste 100,Bremerton,WA,98337-1873,Kitsap,"345 6th St Ste 100,Bremerton,WA 98337-1873",47.566945,-122.62585,"47.566945,-122.62585"
City of Brier,City of Brier,http://www.ci.brier.wa.us/,Dale Kaemingk,6610,2901 228th St SW,Brier,WA,98036-8321,Snohomish,"2901 228th St SW,Brier,WA 98036-8321",47.792355,-122.27225,"47.792355,-122.27225"
City of Issaquah,City of Issaquah,http://www.ci.issaquah.wa.us/,Mary Lou Pauly,41290,PO Box 1307,Issaquah,WA,98027,King,"PO Box 1307,Issaquah,WA 98027",47.542286,-122.042454,"47.542286,-122.042454"
City of Richland,City of Richland,http://www.ci.richland.wa.us/,Terry Christensen,63320,625 Swift Blvd Attn: AP MS-05,Richland,WA,99352-3510,Benton,"625 Swift Blvd Attn: AP MS-05,Richland,WA 99352-3510",46.2802,-119.27601,"46.2802,-119.27601"
City of Roslyn,City of Roslyn,http://www.ci.roslyn.wa.us/,Brent Hals,960,PO Box 451,Roslyn,WA,98941,Kittitas,"PO Box 451,Roslyn,WA 98941",47.22396,-120.994114,"47.22396,-120.994114"
City of Snohomish,City of Snohomish,http://www.ci.snohomish.wa.us/Directory.aspx,Linda Redmon,10330,PO Box 1589,Snohomish,WA,98291-1589,Snohomish,"PO Box 1589,Snohomish,WA 98291-1589",47.928198,-122.097652,"47.928198,-122.097652"
City of Stanwood,City of Stanwood,http://www.ci.stanwood.wa.us/directory,Sid Roberts,8585,10220 270th St NW,Stanwood,WA,98292-8022,Snohomish,"10220 270th St NW,Stanwood,WA 98292-8022",48.238895,-122.32456,"48.238895,-122.32456"
City of Westport,City of Westport,http://www.ci.westport.wa.us/,Rob Bearden,2295,PO Box 505,Westport,WA,98595,Grays Harbor,"PO Box 505,Westport,WA 98595",46.889789,-124.110419,"46.889789,-124.110419"
City of Woodland,City of Woodland,http://www.ci.woodland.wa.us/,Will Finn,6570,PO Box 9,Woodland,WA,98674,"Cowlitz, Clark","PO Box 9,Woodland,WA 98674",45.910972,-122.740833,"45.910972,-122.740833"
City of Brewster,City of Brewster,http://www.cityofbrewsterwashington.org/,Art Smyth,1995,PO Box 340,Brewster,WA,98812,Okanogan,"PO Box 340,Brewster,WA 98812",48.095978,-119.780617,"48.095978,-119.780617"
City of Centralia,City of Centralia,http://www.cityofcentralia.com/,Kelly Smith Johnston,18400,PO Box 609,Centralia,WA,98531,Lewis,"PO Box 609,Centralia,WA 98531",46.715461,-122.957006,"46.715461,-122.957006"
City of Edgewood,City of Edgewood,http://www.cityofedgewood.org/,Daryl Eidinger,13590,2224 104th Ave E,Edgewood,WA,98372-1513,Pierce,"2224 104th Ave E,Edgewood,WA 98372-1513",47.23786,-122.27343,"47.23786,-122.27343"
City of Kittitas,City of Kittitas,http://www.cityofkittitas.com/,Richard Dean Hink Jr.,1440,PO Box 719,Kittitas,WA,98934,Kittitas,"PO Box 719,Kittitas,WA 98934",46.983822,-120.41829,"46.983822,-120.41829"
City of Mattawa,City of Mattawa,http://www.cityofmattawa.com/,Maria Celaya,3575,PO Box 965,Mattawa,WA,99349,Grant,"PO Box 965,Mattawa,WA 99349",46.737905,-119.902823,"46.737905,-119.902823"
City of Mountlake Terrace,City of Mountlake Terrace,http://www.cityofmlt.com/,Kyoko Matsumoto Wright,23810,PO Box 72,Mountlake Terrace,WA,98043,Snohomish,"PO Box 72,Mountlake Terrace,WA 98043",47.787859,-122.310306,"47.787859,-122.310306"
